	Time	1	2
S/N		946487	946487
Type		TGP-4520	TGP-4520
Description		TT14	TT14
Property		Black Probe Temperature	White Probe Temperature
342	3 mar 2025 19:50	-6.198 °C	-6.098 °C
343	3 mar 2025 20:00	-6.198 °C	-6.098 °C
344	3 mar 2025 20:10	-6.196 °C	-6.098 °C
345	3 mar 2025 20:20	-6.198 °C	-6.098 °C
346	3 mar 2025 20:30	-6.198 °C	-6.098 °C
347	3 mar 2025 20:40	-6.196 °C	-6.098 °C
348	3 mar 2025 20:50	-6.198 °C	-6.096 °C
349	3 mar 2025 21:00	-6.196 °C	-6.096 °C
350	3 mar 2025 21:10	-6.196 °C	-6.098 °C
351	3 mar 2025 21:20	-6.196 °C	-6.098 °C
352	3 mar 2025 21:30	-6.196 °C	-6.096 °C
353	3 mar 2025 21:40	-6.196 °C	-6.098 °C
354	3 mar 2025 21:50	-6.196 °C	-6.096 °C
355	3 mar 2025 22:00	-6.196 °C	-6.096 °C
356	3 mar 2025 22:10	-6.196 °C	-6.096 °C
357	3 mar 2025 22:20	-6.196 °C	-6.096 °C
358	3 mar 2025 22:30	-6.196 °C	-6.096 °C
359	3 mar 2025 22:40	-6.196 °C	-6.096 °C
360	3 mar 2025 22:50	-6.196 °C	-6.096 °C
361	3 mar 2025 23:00	-6.194 °C	-6.096 °C
362	3 mar 2025 23:10	-6.194 °C	-6.096 °C
363	3 mar 2025 23:20	-6.194 °C	-6.096 °C
364	3 mar 2025 23:30	-6.194 °C	-6.096 °C
365	3 mar 2025 23:40	-6.194 °C	-6.096 °C
366	3 mar 2025 23:50	-6.194 °C	-6.096 °C
367	4 mar 2025 00:00	-6.194 °C	-6.096 °C
368	4 mar 2025 00:10	-6.194 °C	-6.096 °C
369	4 mar 2025 00:20	-6.194 °C	-6.094 °C
370	4 mar 2025 00:30	-6.194 °C	-6.096 °C
371	4 mar 2025 00:40	-6.194 °C	-6.096 °C
372	4 mar 2025 00:50	-6.194 °C	-6.094 °C
373	4 mar 2025 01:00	-6.192 °C	-6.094 °C
374	4 mar 2025 01:10	-6.192 °C	-6.094 °C
375	4 mar 2025 01:20	-6.192 °C	-6.094 °C
376	4 mar 2025 01:30	-6.192 °C	-6.094 °C
377	4 mar 2025 01:40	-6.192 °C	-6.094 °C
378	4 mar 2025 01:50	-6.192 °C	-6.094 °C
379	4 mar 2025 02:00	-6.192 °C	-6.094 °C
380	4 mar 2025 02:10	-6.192 °C	-6.094 °C
